ID,Song,Artist_ID,Album_ID_1,Album_ID_2,Album_ID_3,Album_ID_4,Album_ID_5,Album_ID_6,Album_ID_7,Album_ID_8,Album_ID_9,Album_ID_10
127,Saint Pablo,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,I Thought About Killing You,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,Yikes,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,All Mine,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,Wouldn't Leave,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,No Mistakes,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,Ghost Town,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,Violent Crimes,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,Feel The Love,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,Fire,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,4th Dimension,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,Freeee (Ghost Town Pt. 2),1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,Reborn,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,Kids See Ghosts,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,Cudi Montage,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,Every Hour,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,Selah,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,Follow God,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,Closed On Sunday,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,On God,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,Everything We Need,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,Water,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,God Is,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,Hands On,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,Use This Gospel,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,Jesus Is Lord,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,Donda Chant,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,Jail,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,God Breathed,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,Off The Grid,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
